INSTNM,STABBR,ACCREDAGENCY,MAIN,PREDDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,PCTFLOAN,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,LO_INC_RPY_1YR_RT,MD_INC_RPY_1YR_RT,HI_INC_RPY_1YR_RT,MD_EARN_WNE_P6,COUNT_NWNE_P6,COUNT_WNE_P6
Alabama A & M University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,10,14,0.7503,13893,13976,15995,18957,17140,0.141439,0.223270,0.240000,25200.00,94,1304
University of Alabama at Birmingham,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,9,15,0.5127,14550,15379,17892,19978,20110,0.383462,0.469331,0.569082,35100.00,241,2727
Amridge University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,12,5,6,0.8962,,,,,,0.102102,0.271028,0.500000,30700.00,38,155
University of Alabama in Huntsville,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,15,12,0.4192,17561,18991,21396,23204,23406,0.405088,0.534351,0.638596,36200.00,144,1378
Alabama State University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,10,14,0.7845,11344,14855,18390,18863,14833,0.114488,0.172762,0.242991,22600.00,157,1754
The University of Alabama,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,14,16,0.3863,18515,20541,22457,24789,25199,0.406479,0.538799,0.668573,37400.00,345,4836
Central Alabama Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,32,2,2,0.2104,2228,2904,5456,8063,7501,0.139978,0.298246,0.447368,23100.00,234,1028
Athens State University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,31,5,9,0.5079,,,,,,0.340476,0.492119,0.608333,33400.00,140,1245
Auburn University at Montgomery,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,9,13,0.5539,10877,12321,14734,15871,15341,0.296552,0.461659,0.555241,30100.00,137,1354
Auburn University,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,13,14,15,0.3169,18617,20546,23110,26329,27395,0.544735,0.664964,0.769597,39500.00,220,3808
Birmingham-Southern College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,12,14,11,0.4567,,,,,,0.556701,0.772059,0.726804,33400.00,,
Chattahoochee Valley Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,41,2,2,0.2156,1016,1166,4536,6813,7028,0.174497,0.428571,0.514286,22300.00,124,742
South University-Montgomery,AL,Southern Association of Colleges and Schools Commission on Colleges,0,3,3,12,7,6,0.6585,,,,,,0.151209,0.252381,0.438639,26900.00,2704,11327
Enterprise State Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,32,2,2,0.1519,2732,3534,5731,8896,8789,0.261780,0.533074,0.480315,27000.00,198,1092
Coastal Alabama Community College,AL,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,32,2,4,0.2235,4818,5431,8318,10403,10669,0.209354,0.405564,0.496774,23800.00,274,1641
