HH_ID,ResType,ResStatus,HHInc,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,M_Rel,Cable,Cats,Dogs,YogExp,DinExp,HHIn1,HHIn2,HHIn3,HHIn4,HHIn5,HHIn6,HHIn7,HHIn8,HHIn9,HHIn10,HHIn11,HHIn12,HHIn13,ResType1,ResType2,ResType3,ResType4,ResType5,ResStatus1,ResStatus2,MUndergrad,MGrad,FUndergrad,FGrad,Married,BuyYog,BuyDin,FAge,MAge
1100032,3,1,11,2,40,8,40,9,1938,1,1935,2,1,0,0,3.07,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,50,53
1100107,1,2,3,3,0,0,40,7,1942,1,1942,0,1,0,1,0.00,90.70,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,46,46
1100131,3,1,9,4,40,9,40,8,1949,1,1949,2,1,0,0,330.12,669.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,39,39
1100172,1,2,2,1,0,0,0,9,1921,1,1921,0,1,0,0,1.78,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,67,67
1100180,3,1,8,4,40,9,38,8,1946,1,1937,2,1,0,0,23.44,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,42,51
1100198,1,2,2,1,0,0,0,5,1903,1,1903,0,0,0,0,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,85,85
1100255,3,1,2,1,0,0,0,3,1921,1,1921,0,1,0,0,1.18,2.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,67,67
1100289,3,1,3,2,0,9,0,5,1916,1,1910,2,0,0,0,69.33,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,72,78
1100297,3,1,7,2,20,5,12,5,1925,1,1922,2,0,0,0,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,63,66
1100313,3,1,6,3,0,0,40,8,1951,1,1951,0,1,0,1,15.81,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,37,37
