date,state,people_viral_positive,tests_viral_positive,tests_viral_negative,encounters_viral_total,tests_viral_total,people_viral_total,tests_combined_total,cases_conf_probable,people_antigen_positive,people_antigen_total,cases_confirmed,cases_probable
20200302,NY,0.0,,,0.0,,,0.0,0.0,,,,
20200303,NY,1.0,,,1.0,,,1.0,1.0,,,,
20200304,NY,1.0,,,10.0,,,10.0,1.0,,,,
20200305,NY,3.0,,,30.0,,,30.0,3.0,,,,
20200306,NY,25.0,,,122.0,,,122.0,25.0,,,,
20200307,NY,36.0,,,188.0,,,188.0,36.0,,,,
20200308,NY,60.0,,,388.0,,,388.0,60.0,,,,
20200309,NY,88.0,,,695.0,,,695.0,88.0,,,,
20200310,NY,151.0,,,1096.0,,,1096.0,151.0,,,,
20200311,NY,195.0,,,1521.0,,,1521.0,195.0,,,,
20200312,NY,251.0,,,2074.0,,,2074.0,251.0,,,,
20200313,NY,353.0,,,2836.0,,,2836.0,353.0,,,,
20200314,NY,517.0,,,4126.0,,,4126.0,517.0,,,,
20200315,NY,648.0,,,5419.0,,,5419.0,648.0,,,,
20200316,NY,942.0,,,7355.0,,,7355.0,942.0,,,,
20200317,NY,1374.0,,,10262.0,,,10262.0,1374.0,,,,
20200318,NY,2383.0,,,14815.0,,,14815.0,2383.0,,,,
20200319,NY,4152.0,,,22513.0,,,22513.0,4152.0,,,,
20200320,NY,7102.0,,,32637.0,,,32637.0,7102.0,,,,
20200321,NY,10356.0,,,45724.0,,,45724.0,10356.0,,,,
20200322,NY,15168.0,,,61753.0,,,61753.0,15168.0,,,,
20200323,NY,20875.0,,,78565.0,,,78565.0,20875.0,,,,
20200324,NY,25665.0,,,91517.0,,,91517.0,25665.0,,,,
20200325,NY,30810.0,,,103659.0,,,103659.0,30810.0,,,,
20200326,NY,37258.0,,,122310.0,,,122310.0,37258.0,,,,
20200327,NY,44637.0,,,138625.0,,,138625.0,44637.0,,,,
20200328,NY,52318.0,,,156069.0,,,156069.0,52318.0,,,,
20200329,NY,59513.0,,,172470.0,,,172470.0,59513.0,,,,
20200330,NY,66497.0,,,186585.0,,,186585.0,66497.0,,,,
20200331,NY,75795.0,,,205233.0,,,205233.0,75795.0,,,,
20200401,NY,83712.0,,,220934.0,,,220934.0,83712.0,,,,
20200402,NY,92381.0,,,238965.0,,,238965.0,92381.0,,,,
20200403,NY,102863.0,,,260520.0,,,260520.0,102863.0,,,,
20200404,NY,113704.0,,,283621.0,,,283621.0,113704.0,,,,
20200405,NY,122031.0,,,302280.0,,,302280.0,122031.0,,,,
20200406,NY,130689.0,,,320811.0,,,320811.0,130689.0,,,,
20200407,NY,138863.0,,,340058.0,,,340058.0,138863.0,,,,
20200408,NY,149316.0,,,365153.0,,,365153.0,149316.0,,,,
20200409,NY,159937.0,,,391549.0,,,391549.0,159937.0,,,,
20200410,NY,170512.0,,,417885.0,,,417885.0,170512.0,,,,
20200411,NY,180458.0,,,440980.0,,,440980.0,180458.0,,,,
20200412,NY,188694.0,,,461601.0,,,461601.0,188694.0,,,,
20200413,NY,195031.0,,,478357.0,,,478357.0,195031.0,,,,
20200414,NY,202208.0,,,499143.0,,,499143.0,202208.0,,,,
20200415,NY,213779.0,,,526012.0,,,526012.0,213779.0,,,,
20200416,NY,222284.0,,,550579.0,,,550579.0,222284.0,,,,
20200417,NY,229642.0,,,573223.0,,,573223.0,229642.0,,,,
20200418,NY,236732.0,,,596532.0,,,596532.0,236732.0,,,,
20200419,NY,242786.0,,,617555.0,,,617555.0,242786.0,,,,
20200420,NY,247512.0,,,633861.0,,,633861.0,247512.0,,,,
20200421,NY,251690.0,,,649325.0,,,649325.0,251690.0,,,,
20200422,NY,257216.0,,,669982.0,,,669982.0,257216.0,,,,
20200423,NY,263460.0,,,695920.0,,,695920.0,263460.0,,,,
20200424,NY,271590.0,,,730656.0,,,730656.0,271590.0,,,,
20200425,NY,282143.0,,,777568.0,,,777568.0,282143.0,,,,
20200426,NY,288045.0,,,805350.0,,,805350.0,288045.0,,,,
20200427,NY,291996.0,,,826095.0,,,826095.0,291996.0,,,,
20200428,NY,295106.0,,,844994.0,,,844994.0,295106.0,,,,
20200429,NY,299691.0,,,872481.0,,,872481.0,299691.0,,,,
20200430,NY,304372.0,,,900636.0,,,900636.0,304372.0,,,,
20200501,NY,308314.0,,,927438.0,,,927438.0,308314.0,,,,
20200502,NY,312977.0,,,959017.0,,,959017.0,312977.0,,,,
20200503,NY,316415.0,,,985911.0,,,985911.0,316415.0,,,,
20200504,NY,318953.0,,,1007310.0,,,1007310.0,318953.0,,,,
20200505,NY,321192.0,,,1028899.0,,,1028899.0,321192.0,,,,
20200506,NY,323978.0,,,1055921.0,,,1055921.0,323978.0,,,,
20200507,NY,327469.0,,,1089916.0,,,1089916.0,327469.0,,,,
20200508,NY,330407.0,,,1121543.0,,,1121543.0,330407.0,,,,
20200509,NY,333122.0,,,1153768.0,,,1153768.0,333122.0,,,,
20200510,NY,335395.0,,,1182998.0,,,1182998.0,335395.0,,,,
20200511,NY,337055.0,,,1204650.0,,,1204650.0,337055.0,,,,
20200512,NY,338485.0,,,1225113.0,,,1225113.0,338485.0,,,,
20200513,NY,340661.0,,,1258907.0,,,1258907.0,340661.0,,,,
20200514,NY,343051.0,,,1298757.0,,,1298757.0,343051.0,,,,
20200515,NY,345813.0,,,1338048.0,,,1338048.0,345813.0,,,,
20200516,NY,348232.0,,,1378717.0,,,1378717.0,348232.0,,,,
20200517,NY,350121.0,,,1413396.0,,,1413396.0,350121.0,,,,
20200518,NY,351371.0,,,1439557.0,,,1439557.0,351371.0,,,,
20200519,NY,352845.0,,,1467739.0,,,1467739.0,352845.0,,,,
20200520,NY,354370.0,,,1505836.0,,,1505836.0,354370.0,,,,
20200521,NY,356458.0,,,1555055.0,,,1555055.0,356458.0,,,,
20200522,NY,358154.0,,,1600793.0,,,1600793.0,358154.0,,,,
20200523,NY,359926.0,,,1652061.0,,,1652061.0,359926.0,,,,
